Player,gp,goals,assists,points,plusminus,PIM,pointShares,evenStrengthG,powerPlayG,shortHandG,gameWinningG,evenStrengthA,powerPlayA,shortHandA,shots,TOI,blocks,hits,foWins,foLosses,CorsiFor,CorsiAgainst,FenwickFor,FenwickAgainst,oiSHperc,oiSVperc,oZSperc,dZSperc,takeaways,giveaways,shotAttempts,thruperc,shotPerc,averageTOI,foPerc,CorsiPerc,FenwickPerc,PDO
Chris Stewart\stewach02,668,160,162,322,-52,750,35.5,125,34,1,20,123,39,0,1242,9280,143,819,64,143,6868,8184,5190,6085,9.454545454545455,90.73636363636363,53.74545454545454,46.25454545454546,158,206,1974,60.90909090909091,0.1288244766505636,13.892215568862275,0.30917874396135264,0.45628487908583576,0.46031042128603106,100.19090909090909
Chris Summers\summech01,70,2,7,9,-24,51,0,2,0,0,0,7,0,0,52,965,83,152,0,0,681,856,506,629,4.783333333333333,87.75,44.6,55.4,4,13,110,44.7,0.038461538461538464,13.785714285714286,NaN,0.44307091737150295,0.4458149779735683,92.53333333333333
Chris Tanev\tanevch01,514,22,96,118,43,121,29.6,19,2,1,6,87,5,4,376,10145,1050,201,0,0,7117,7355,5285,5267,9,92.04,43.81,56.19,155,253,828,44.81,0.05851063829787234,19.737354085603112,NaN,0.4917772249861802,0.5008529188779378,101.04
Chris Terry\terrych01,152,22,16,38,-21,34,3.5,19,3,0,1,13,3,0,178,1780,46,146,9,14,1459,1447,1076,1086,6.54,89.32,58.72,41.28,56,51,342,47.18,0.12359550561797752,11.710526315789474,0.391304347826087,0.5020646937370956,0.4976873265494912,95.86
Chris Therien\therich01,47,0,4,4,-7,34,0.2,0,0,0,0,4,0,0,16,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.76595744680851,NaN,NaN,NaN,0
Chris Thorburn\thorbch01,801,53,81,134,-40,968,5.2,46,2,5,8,80,1,0,691,7426,361,1234,372,328,5113,6220,3785,4493,NA,79.58571428571429,41.98571428571429,43.72857142857143,162,111,1086,NA,0.07670043415340087,9.270911360799001,0.5314285714285715,0.4511603282449484,0.45723604735443346,NA
Chris Tierney\tiernch01,436,61,128,189,-41,86,13.7,46,7,8,10,106,18,4,570,6648,236,185,2457,2530,4865,5467,3609,3983,9.1,90.48333333333333,45.983333333333334,54.016666666666666,226,277,937,60.21666666666667,0.10701754385964912,15.247706422018348,0.49268097052336074,0.4708672086720867,0.47536880927291886,99.58333333333333
Chris VandeVelde\vandech01,278,18,30,48,-28,95,0.5,17,0,1,0,29,1,0,248,3325,190,433,190,214,2203,2608,1580,1832,7.442857142857143,92.18571428571428,47.57142857142857,52.42857142857143,61,44,432,56.72857142857143,0.07258064516129033,11.96043165467626,0.47029702970297027,0.45790895863645814,0.4630715123094959,99.62857142857143
Chris Wagner\wagnech01,317,35,23,58,-17,171,2.9000000000000004,31,1,3,2,21,2,0,408,3780,172,921,642,674,2506,2935,1907,2177,6.166666666666667,92.26666666666667,41.7,58.3,61,87,702,56.916666666666664,0.0857843137254902,11.92429022082019,0.4878419452887538,0.4605770997978313,0.46694417238001956,98.43333333333334
Chris Wideman\widemch01,181,16,29,45,4,104,8.9,12,4,0,4,23,6,0,261,2465,174,177,0,0,2061,2149,1500,1571,8.475,92.675,55.5,44.5,22,82,537,48.2,0.06130268199233716,13.61878453038674,NaN,0.48954869358669834,0.48844024747639203,101.14999999999999
Christian Backman\backmch01,232,18,43,61,1,166,13.8,12,6,0,2,29,14,0,255,4729,104,74,0,1,1477,1301,1133,1015,3.5999999999999996,46.275,28.7,21.3,24,38,256,20.55,0.07058823529411765,20.38362068965517,0,0.5316774658027358,0.5274674115456238,49.875
Christian Djoos\djoosch01,119,5,22,27,25,14,6.1,5,0,0,0,21,1,0,106,1705,95,42,0,0,1558,1495,1167,1151,10.633333333333333,92.16666666666667,58.5,41.5,25,61,215,48,0.04716981132075472,14.327731092436975,NaN,0.5103177202751392,0.503451251078516,102.80000000000001
Christian Dvorak\dvorach01,246,50,65,115,-8,58,11.2,39,11,0,6,53,12,0,398,3957,147,219,1704,1616,2982,3220,2174,2478,9.55,91.22500000000001,50.45,49.55,66,77,670,58.7,0.12562814070351758,16.085365853658537,0.5132530120481927,0.48081264108352145,0.46732588134135855,100.775
Christian Ehrhoff\ehrhoch01,748,73,254,327,44,503,65.4,43,29,1,23,123,125,6,1529,16093,754,525,0,0,9989,9099,7541,6913,6.527272727272727,75.14545454545454,43.81818181818182,38,203,372,2698,37.42727272727273,0.04774362328319163,21.514705882352942,NaN,0.52331307627829,0.5217240902172409,81.67272727272727
Christian Fischer\fischch01,213,35,28,63,-28,57,5.2,30,5,0,5,25,3,0,363,2736,64,382,10,37,2121,2297,1571,1711,8.4,91.95,46.45,53.55,33,36,565,65.575,0.09641873278236915,12.845070422535212,0.2127659574468085,0.48008148483476687,0.4786715417428397,100.35000000000001
Christian Folin\folinch01,244,8,36,44,21,120,10.7,8,0,0,0,34,1,1,210,3722,336,484,1,0,3033,3188,2261,2336,22.34285714285714,92.87142857142857,45.042857142857144,54.957142857142856,35,104,473,NA,0.0380952380952381,15.254098360655737,1,0.4875421957884584,0.4918425059821623,115.21428571428571
