Round,Overall,Pos,gp,plusminus,oiSHperc,oiSVperc,thruperc,shotPerc,averageTOI,foPerc,CorsiPerc,FenwickPerc,pointspergame,avgPSperseason,playedDraftYear,GPG,APG,PIM_pergame,ESG_pergame,PPG_pergame,SHG_pergame,GWG_perseason,ESA_pergame,PPA_pergame,SHA_pergame,shots_pergame,blocks_pergame,hits_pergame,FOwins_pergame,FOlosses_pergame,takeaways_pergame,giveaways_pergame,shotattempts_pergame,playedover100,playedover200,playedover300,lm_preds
1,6,C,266,-34,14.379999999999999,92.39999999999999,64.08,0.09390862944162437,15.221804511278195,0.44440093970242756,0.4676501955207963,0.4788732394366197,0.40601503759398494,1.6,TRUE,0.13909774436090225,0.2669172932330827,0.2932330827067669,0.06766917293233082,0.05263157894736842,0.018796992481203006,1,0.18796992481203006,0.06766917293233082,0.011278195488721804,1.481203007518797,0.33458646616541354,0.9586466165413534,4.2669172932330826,5.334586466165414,0.44360902255639095,0.45864661654135336,2.4285714285714284,TRUE,TRUE,FALSE,3.627858938163871
1,7,D,315,5,9.875,90.4,51.175,0.06525037936267071,23.987301587301587,0,0.4933048168123489,0.4991128010139417,0.4222222222222222,5.0200000000000005,TRUE,0.1365079365079365,0.2857142857142857,0.3492063492063492,0.10793650793650794,0.02857142857142857,0,1.4,0.2222222222222222,0.06031746031746032,0.0031746031746031746,2.092063492063492,1.8888888888888888,1.4793650793650794,0,0.0031746031746031746,0.2571428571428571,1.053968253968254,4.098412698412698,TRUE,TRUE,TRUE,3.4127823145151615
1,9,RW,263,-10,8.675,89.425,56.9,0.10215053763440861,15.82509505703422,0.4247787610619469,0.5428364688856729,0.5413133504239795,0.596958174904943,3.28,TRUE,0.2889733840304182,0.30798479087452474,0.6007604562737643,0.24714828897338403,0.04182509505703422,0,1.8,0.2585551330798479,0.045627376425855515,0.0038022813688212928,2.828897338403042,0.49809885931558934,1.608365019011407,0.3650190114068441,0.49429657794676807,0.6083650190114068,0.5209125475285171,4.9505703422053235,TRUE,TRUE,FALSE,3.067167924203501
1,10,RW,281,-21,8.02,88.46000000000001,56.28,0.1596774193548387,18.893238434163703,0.5224358974358975,0.5139131447199907,0.5098039215686274,0.8896797153024911,5.36,TRUE,0.35231316725978645,0.5373665480427047,0.4483985765124555,0.2099644128113879,0.1423487544483986,0,2.8,0.35231316725978645,0.18505338078291814,0,2.206405693950178,0.5266903914590747,0.5266903914590747,0.5800711743772242,0.5302491103202847,0.597864768683274,0.40569395017793597,3.8754448398576513,TRUE,TRUE,FALSE,2.92447043400891
1,11,LW,230,-21,6.45,90.125,58.35,0.09495548961424333,12.7,0.4406779661016949,0.4536082474226804,0.46411347517730495,0.27391304347826084,0.9800000000000001,TRUE,0.1391304347826087,0.13478260869565217,0.6739130434782609,0.12173913043478261,0,0.017391304347826087,1.2,0.13478260869565217,0,0,1.4652173913043478,0.46956521739130436,2.9478260869565216,0.22608695652173913,0.28695652173913044,0.3,0.23043478260869565,2.4521739130434783,TRUE,TRUE,FALSE,2.7966823955938467
1,12,RW,86,1,4.6,90.60000000000001,35.86666666666667,0.13548387096774195,12.465116279069768,0.5,0.4771838331160365,0.4823848238482385,0.38372093023255816,0.8,TRUE,0.2441860465116279,0.13953488372093023,0.1511627906976744,0.16279069767441862,0.08139534883720931,0,0.8,0.06976744186046512,0.06976744186046512,0,1.802325581395349,0.3488372093023256,1.0116279069767442,0.011627906976744186,0.011627906976744186,0.32558139534883723,0.3488372093023256,3.4302325581395348,FALSE,FALSE,FALSE,2.681205448290269
1,14,LW,203,14,9.533333333333333,91.4,60,0.13478260869565217,15.507389162561577,0.3191489361702128,0.54216867469879515,0.5397824842587292,0.5911330049261084,2.7800000000000002,TRUE,0.3054187192118227,0.2857142857142857,0.2512315270935961,0.22167487684729065,0.08374384236453201,0,2.8,0.22167487684729065,0.06403940886699508,0,2.2660098522167487,0.32019704433497537,0.7389162561576355,0.1477832512315271,0.31527093596059114,0.4876847290640394,0.3399014778325123,3.773399014778325,TRUE,TRUE,FALSE,2.4797313378064674
1,15,RW,6,1,11.8,95.85,37.5,0.2,9.5,1,0.5697674418604651,0.5882352941176471,0.5,0.08,TRUE,0.16666666666666666,0.3333333333333333,0,0.16666666666666666,0,0,0,0.3333333333333333,0,0,0.8333333333333334,0.16666666666666666,0.5,0.16666666666666666,0,0.16666666666666666,0.3333333333333333,2,FALSE,FALSE,FALSE,2.390984446378357
1,17,LW,249,-2,10.05,89.725,63.475,0.15395894428152493,18.49397590361446,0.37142857142857144,0.4921852387843705,0.48918406072106263,0.8072289156626506,4.54,TRUE,0.42168674698795183,0.3855421686746988,0.2891566265060241,0.30522088353413657,0.10843373493975904,0.008032128514056224,4,0.2931726907630522,0.08835341365461848,0.004016064257028112,2.7389558232931726,0.2891566265060241,0.18473895582329317,0.05220883534136546,0.08835341365461848,0.5983935742971888,0.4457831325301205,4.228915662650603,TRUE,TRUE,FALSE,2.232512708105671
1,19,LW,20,-3,3.1333333333333333,94.03333333333333,64.8,0.07692307692307693,9.1,0.2,0.5095541401273885,0.5125,0.2,0.039999999999999994,TRUE,0.1,0.1,0.5,0.1,0,0,0,0.1,0,0,1.3,0.4,1.1,0.05,0.2,0.15,0.45,2.1,FALSE,FALSE,FALSE,2.09471695560626
1,20,C,210,3,8.95,91.55,64.95,0.06818181818181818,13.685714285714285,0.4488517745302714,0.4811214108071445,0.49120145631067963,0.3142857142857143,0.9,TRUE,0.11428571428571428,0.2,0.3238095238095238,0.10952380952380952,0.004761904761904762,0,1.4,0.19523809523809524,0,0.004761904761904762,1.6761904761904762,0.5761904761904761,1.7476190476190476,4.095238095238095,5.0285714285714285,0.2714285714285714,0.19047619047619047,2.533333333333333,TRUE,TRUE,FALSE,2.0322269967949422
1,21,C,155,-35,11.2,90.075,54,0.09956709956709957,15.580645161290322,0.46643835616438356,0.4774465840147718,0.47206303724928367,0.45161290322580644,0.8,TRUE,0.14838709677419354,0.3032258064516129,0.45806451612903226,0.10967741935483871,0.03870967741935484,0,0.6,0.2645161290322581,0.03870967741935484,0,1.4903225806451612,0.5225806451612903,0.5290322580645161,4.393548387096774,5.025806451612903,0.33548387096774196,0.5096774193548387,2.729032258064516,TRUE,FALSE,FALSE,1.9734503765057303
