team,season,GP,W,L,OT,P,P%,RW,ROW,S/O Win,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,xGoalsPercentage,corsiPercentage,fenwickPercentage,xGoalsFor,shotsOnGoalFor,shotAttemptsFor,goalsFor,penaltiesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,xGoalsAgainst,shotsOnGoalAgainst,shotAttemptsAgainst,goalsAgainst,penaltiesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,goalDifferential,season_end,tm_season,next_year_pts_perc
DAL,2017-18,82,42,32,8,92,0.561,33,38,4,2.82,2.71,19.3,80.8,15.2,83.3,31.2,29.8,0.52,0.51,0.51,233.8,2561,4814,231,333,2701,1861,459,697,215.82,2447,4668,222,300,2443,1707,426,743,9,2018,DAL_2018,0.567
OTT,2017-18,82,28,43,11,67,0.409,18,26,2,2.67,3.46,16.6,76.2,14.2,77.9,30.7,33.1,0.45,0.48,0.48,207.85,2515,4676,219,268,2499,1966,559,809,250.95,2712,5088,284,285,2470,1749,560,838,-65,2018,OTT_2018,0.39
NYR,2017-18,82,34,39,9,77,0.47,24,31,3,2.78,3.21,21.2,81.4,19.1,83.4,31,35.3,0.47,0.47,0.47,225.03,2538,4524,228,282,2384,1714,713,1039,249.19,2899,5134,263,273,2454,1667,668,952,-35,2018,NYR_2018,0.476
VAN,2017-18,82,31,40,11,73,0.445,25,31,0,2.66,3.16,21.5,78.3,17.4,80.8,30,32.2,0.47,0.48,0.48,211.89,2465,4472,218,290,2427,1745,499,667,236.82,2644,4801,259,267,2474,1523,552,610,-41,2018,VAN_2018,0.494
BOS,2017-18,82,50,20,12,112,0.683,41,47,3,3.26,2.57,23.6,83.7,19.7,87.4,33,29.3,0.54,0.53,0.53,251.8,2703,4926,267,300,2577,1914,682,760,215.04,2400,4405,211,308,2501,2256,850,958,56,2018,BOS_2018,0.652
PHI,2017-18,82,42,26,14,98,0.598,31,40,2,3.04,2.88,20.7,75.8,16.9,77.1,32.1,29.9,0.52,0.51,0.51,251.36,2632,4779,249,271,2563,1670,478,757,234.18,2448,4667,236,313,2249,1767,599,782,13,2018,PHI_2018,0.5
NYI,2017-18,82,35,37,10,80,0.488,25,32,3,3.18,3.57,23.2,73.2,18.8,75.3,31.4,35.6,0.47,0.47,0.47,228.24,2573,4692,261,263,2404,1816,541,920,258.07,2918,5211,293,271,2515,1671,674,859,-32,2018,NYI_2018,0.628
CHI,2017-18,82,33,39,10,76,0.463,26,32,1,2.78,3.1,16,79.2,13.4,81.3,34.1,32.9,0.49,0.52,0.51,240.8,2794,5320,228,270,2472,1376,586,699,246.11,2697,4836,254,302,2547,2051,682,761,-26,2018,CHI_2018,0.512
STL,2017-18,82,44,32,6,94,0.573,33,41,3,2.72,2.71,15.5,79.7,11.8,81.8,32.6,29.7,0.51,0.52,0.53,217.69,2677,4905,223,262,2487,1893,613,482,213.13,2438,4573,222,279,2428,1776,589,599,1,2018,STL_2018,0.604
MIN,2017-18,82,45,26,11,101,0.616,38,42,3,3.05,2.79,20.4,81.3,17.9,83.8,30.2,31.3,0.53,0.47,0.48,238.25,2477,4358,250,303,2415,1367,480,511,213.03,2569,4929,229,275,2434,1514,383,579,21,2018,MIN_2018,0.506
CBJ,2017-18,82,45,30,7,97,0.591,30,39,6,2.88,2.76,17.2,76.2,14.1,78,33.7,31.3,0.5,0.51,0.52,240.84,2761,4932,236,236,2400,1745,617,518,236.84,2568,4700,226,264,2558,1604,532,652,10,2018,CBJ_2018,0.598
WSH,2017-18,82,49,26,7,105,0.64,38,46,3,3.12,2.9,22.5,80.3,19.3,81.8,29,31.9,0.47,0.48,0.47,227.48,2379,4548,256,317,2467,1784,592,882,251.43,2613,4981,238,289,2427,1641,681,700,18,2018,WSH_2018,0.634
MTL,2017-18,82,29,40,13,71,0.433,24,27,2,2.52,3.15,21.2,74.1,18.8,76.8,32.8,32.3,0.5,0.5,0.5,242.16,2687,5000,207,307,2395,2169,579,989,241.53,2650,5014,258,284,2642,2145,543,976,-51,2018,MTL_2018,0.585
DAL,2018-19,82,43,32,7,93,0.567,36,42,1,2.55,2.44,21,82.8,20.1,84.5,30.7,31.6,0.51,0.48,0.49,231.15,2519,4550,209,NA,2529,1820,574,1028,221.88,2587,4862,200,NA,2346,1678,525,907,9,2019,DAL_2019,0.594
ANA,2018-19,82,35,37,10,80,0.488,27,32,3,2.39,3.02,17,79.7,12.3,81.6,27.7,33.2,0.44,0.47,0.46,197.76,2273,4391,196,NA,2395,1900,564,930,252.81,2726,5049,248,NA,2268,1833,629,992,-52,2019,ANA_2019,0.472
CHI,2018-19,82,36,34,12,84,0.512,24,33,3,3.26,3.55,20.2,72.7,17.2,75.3,32.5,34.8,0.45,0.49,0.48,222.35,2668,4765,267,NA,2354,1349,616,795,270.85,2853,4876,291,NA,2404,1784,717,760,-24,2019,CHI_2019,0.514
CAR,2018-19,82,46,29,7,99,0.604,39,44,2,2.96,2.7,17.8,81.6,14.6,84.9,34.4,28.6,0.56,0.55,0.55,286.82,2823,5347,243,NA,2435,2072,888,910,225.56,2341,4353,221,NA,2533,1979,700,944,22,2019,CAR_2019,0.596
CGY,2018-19,82,50,25,7,107,0.652,45,50,0,3.52,2.72,19.3,79.7,16.7,87,32.4,28.1,0.53,0.54,0.53,259.56,2654,4966,289,NA,2490,1233,844,1189,229.73,2301,4274,223,NA,2265,1680,788,1100,66,2019,CGY_2019,0.564
VAN,2018-19,82,35,36,11,81,0.494,22,29,6,2.67,3.02,17.1,81.1,13.9,83.9,29.7,31.7,0.47,0.48,0.49,202.46,2433,4526,219,NA,2403,1799,534,609,232.4,2595,4816,248,NA,2454,1738,551,659,-29,2019,VAN_2019,0.565
ARI,2018-19,82,39,35,8,86,0.524,30,35,4,2.55,2.68,16.3,85,12.8,92,30.7,30.8,0.51,0.49,0.5,235.46,2515,4710,209,NA,2308,2024,578,698,224.55,2524,4834,220,NA,2509,2095,517,925,-11,2019,ARI_2019,0.529
MIN,2018-19,82,37,36,9,83,0.506,33,36,1,2.56,2.84,20.3,81.7,18.7,83.8,31.3,29.5,0.52,0.5,0.51,232.76,2547,4678,210,NA,2396,1591,565,511,211.57,2412,4634,233,NA,2459,1569,484,605,-23,2019,MIN_2019,0.558
WSH,2018-19,82,48,26,8,104,0.634,39,44,4,3.34,3.02,20.8,78.9,18.6,80.8,30.4,31.5,0.48,0.49,0.49,233.53,2493,4705,274,NA,2161,1884,688,960,253.81,2585,4877,248,NA,2562,1699,761,777,26,2019,WSH_2019,0.652
NJD,2018-19,82,31,41,10,72,0.439,24,28,3,2.67,3.3,17.7,84.3,13.8,88.2,30.3,31.6,0.48,0.48,0.48,216.69,2489,4339,219,NA,2419,1924,630,744,232.99,2593,4792,271,NA,2481,1721,623,681,-52,2019,NJD_2019,0.493
PHI,2018-19,82,37,37,8,82,0.5,28,34,3,2.94,3.41,17.1,78.5,12.4,80.2,31.5,32.5,0.49,0.49,0.5,236.88,2579,4732,241,NA,2638,1755,489,818,244.53,2666,4858,280,NA,2180,1735,654,839,-39,2019,PHI_2019,0.645
BUF,2018-19,82,33,39,10,76,0.463,21,28,5,2.7,3.27,19.5,80.9,15.7,82.3,32.9,33,0.48,0.5,0.5,225.56,2697,4687,221,NA,2336,1565,503,769,241.54,2704,4643,268,NA,2535,1662,470,829,-47,2019,BUF_2019,0.493
WPG,2018-19,82,47,30,5,99,0.604,38,45,2,3.29,2.96,24.8,79.2,22,83.2,31.2,33.4,0.48,0.49,0.49,228.03,2557,4664,270,NA,2464,1841,624,756,243.51,2736,4901,243,NA,2396,1644,576,871,27,2019,WPG_2019,0.563
NSH,2018-19,82,47,29,6,100,0.61,38,43,4,2.88,2.59,12.9,82.1,9.8,85.3,32.7,30,0.5,0.52,0.52,231.94,2678,4898,236,NA,2537,1492,628,857,233.18,2460,4486,212,NA,2385,1559,549,831,24,2019,NSH_2019,0.565
NYI,2018-19,82,48,27,7,103,0.628,37,43,5,2.72,2.33,14.5,79.9,14.1,82.7,28.8,30.9,0.51,0.48,0.48,228.44,2357,4326,223,NA,2124,2030,556,950,220.96,2534,4776,191,NA,2353,1853,526,933,32,2019,NYI_2019,0.588
TBL,2018-19,82,62,16,4,128,0.78,49,56,6,3.89,2.7,28.2,85,27.1,89.5,32,32.1,0.54,0.5,0.5,268.82,2620,4721,319,NA,2519,2114,570,703,229.87,2634,4667,221,NA,2401,1841,639,762,98,2019,TBL_2019,0.657
FLA,2018-19,82,36,32,14,86,0.524,26,33,3,3.22,3.33,26.8,81.3,21.9,82.6,33,30.7,0.49,0.51,0.51,232.38,2704,4743,264,NA,2524,1898,748,1231,237.84,2513,4632,273,NA,2547,1867,746,1016,-9,2019,FLA_2019,0.565
OTT,2018-19,82,29,47,6,64,0.39,23,29,0,2.95,3.67,20.4,79.2,16.8,81,29.6,35.7,0.47,0.45,0.45,229.81,2428,4373,242,NA,2387,1783,608,978,258.24,2931,5384,301,NA,2428,1985,605,861,-59,2019,OTT_2019,0.437
VGK,2018-19,82,43,32,7,93,0.567,36,40,3,3,2.78,16.8,80.9,16,85.7,34.3,29.3,0.55,0.55,0.54,273.37,2813,5252,246,NA,2482,2268,903,747,222.29,2399,4357,228,NA,2441,2158,761,753,18,2019,VGK_2019,0.606
CBJ,2018-19,82,47,31,4,98,0.598,37,45,2,3.12,2.82,15.4,85,12.7,89,31.6,29.5,0.51,0.51,0.52,237.21,2590,4570,256,NA,2434,1741,619,604,228.11,2418,4403,231,NA,2410,1643,585,749,25,2019,CBJ_2019,0.579
DET,2018-19,82,32,40,10,74,0.451,20,29,3,2.73,3.32,18.1,77.1,14.8,80,29.2,33.7,0.45,0.47,0.46,217.11,2393,4366,224,NA,2567,1751,473,1024,267.86,2762,4927,272,NA,2491,1716,490,841,-48,2019,DET_2019,0.275
NYR,2018-19,82,32,36,14,78,0.476,23,26,6,2.7,3.26,19.4,78.2,17.6,80.8,29.2,33.8,0.47,0.46,0.46,217.89,2392,4271,221,NA,2188,2128,667,1037,246.68,2772,5027,267,NA,2475,1823,640,998,-46,2019,NYR_2019,0.564
STL,2018-19,82,45,28,9,99,0.604,36,42,3,2.98,2.68,21.1,81.5,18.1,83.6,31.8,28.6,0.53,0.52,0.52,239.68,2594,4680,244,NA,2447,1611,685,601,209.52,2324,4355,220,NA,2306,1716,634,746,24,2019,STL_2019,0.662
LAK,2018-19,82,31,42,9,71,0.433,22,28,3,2.43,3.16,15.8,76.5,10,78.3,28.8,31.4,0.46,0.48,0.48,211.4,2358,4489,199,NA,2410,1907,428,856,244.85,2578,4841,259,NA,2366,1546,512,773,-60,2019,LAK_2019,0.457
PIT,2018-19,82,44,26,12,100,0.61,37,42,2,3.3,2.9,24.6,79.7,18,85.1,33.3,33.3,0.53,0.49,0.5,258.86,2732,4796,271,NA,2481,2362,633,822,234.11,2726,4900,238,NA,2427,2444,566,780,33,2019,PIT_2019,0.623
BOS,2018-19,82,49,24,9,107,0.652,38,47,2,3.13,2.59,25.9,79.9,19.9,82.8,32.7,29.5,0.52,0.53,0.53,239.88,2678,4846,257,NA,2454,1874,714,806,220.57,2416,4374,212,NA,2386,2172,947,1023,45,2019,BOS_2019,0.714
EDM,2018-19,82,35,38,9,79,0.482,24,32,3,2.79,3.3,21.2,74.8,18,78.9,29.2,31.7,0.48,0.48,0.48,221.53,2392,4422,229,NA,2327,2191,664,968,242.32,2596,4722,271,NA,2483,1879,699,908,-42,2019,EDM_2019,0.585
MTL,2018-19,82,44,30,8,96,0.585,37,41,3,3,2.88,13.3,80.9,11.5,83,34.1,31.1,0.51,0.53,0.53,237.12,2794,5277,246,NA,2436,2200,603,1031,225.2,2550,4627,236,NA,2496,1998,670,1065,10,2019,MTL_2019,0.5
TOR,2018-19,82,46,28,8,100,0.61,40,46,0,3.49,3.04,21.8,79.9,17.5,82.4,33.4,33.1,0.52,0.52,0.51,268.46,2739,5384,286,NA,2629,1421,695,1002,245.07,2716,4958,249,NA,2330,2080,611,1028,37,2019,TOR_2019,0.579
SJS,2018-19,82,46,27,9,101,0.616,38,46,0,3.52,3.15,23.7,80.8,19.9,84.6,33,28.3,0.53,0.54,0.54,251.44,2706,5139,289,NA,2376,1571,744,834,223.63,2322,4310,258,NA,2346,1845,756,798,31,2019,SJS_2019,0.45
COL,2018-19,82,38,30,14,90,0.549,33,36,2,3.15,2.98,22,78.7,20.3,82,32.6,31.9,0.5,0.49,0.5,234.38,2676,4762,258,NA,2344,1698,536,594,232.69,2617,4860,244,NA,2531,1855,640,608,14,2019,COL_2019,0.657
NJD,2019-20,69,28,29,12,68,0.493,22,24,4,2.68,3.25,18,82.4,13.7,86.4,30.7,32.7,0.48,0.47,0.48,196.4,2115,3717,185,252,1867,1381,485,670,209.86,2257,4134,224,258,2120,1339,541,554,-39,2020,NJD_2020,NA
SJS,2019-20,70,29,36,5,63,0.45,22,27,2,2.57,3.21,17.5,85.7,14.3,88.8,30,30.6,0.49,0.5,0.5,197.18,2098,3895,180,255,1869,1586,587,635,205.26,2140,3858,225,222,1944,1394,578,674,-45,2020,SJS_2020,NA
WPG,2019-20,71,37,28,6,80,0.563,30,34,3,3,2.83,20.5,77.6,19,81,31.3,32.6,0.48,0.5,0.49,206.37,2220,4006,213,204,1985,1550,485,744,225.78,2311,4081,201,233,1985,1402,475,772,12,2020,WPG_2020,NA
BOS,2019-20,70,44,14,12,100,0.714,38,44,0,3.24,2.39,25.2,84.3,22.1,86.6,32.1,30,0.52,0.51,0.51,207.45,2242,3979,227,262,2025,1648,525,699,193.04,2104,3820,167,275,1944,1800,649,830,60,2020,BOS_2020,NA
VGK,2019-20,71,39,24,8,86,0.606,30,36,3,3.15,2.94,22,76.6,20.4,80.8,34.5,29.3,0.53,0.54,0.54,222.85,2448,4446,224,240,2104,1905,683,606,200.55,2079,3794,209,219,2100,1873,581,661,15,2020,VGK_2020,NA
WSH,2019-20,69,41,20,8,90,0.652,31,37,4,3.42,3.07,19.4,82.6,15.3,85.1,32,30.2,0.53,0.52,0.52,217.32,2208,4049,236,285,1991,1716,522,753,193.57,2080,3790,212,265,2129,1348,586,653,24,2020,WSH_2020,NA
PHI,2019-20,69,41,21,7,89,0.645,31,36,5,3.29,2.77,20.8,81.8,18.1,85.7,31.4,28.7,0.52,0.52,0.52,203.18,2151,3815,225,232,2149,1496,446,674,189.1,1970,3542,189,240,1780,1524,429,716,36,2020,PHI_2020,NA
DAL,2019-20,69,37,24,8,82,0.594,26,35,2,2.58,2.52,21.1,79.7,19.1,82,30.6,31.6,0.52,0.49,0.49,197.19,2112,3909,178,239,2068,1538,534,825,182.44,2174,4003,174,224,1925,1320,422,774,4,2020,DAL_2020,NA
COL,2019-20,70,42,20,8,92,0.657,37,41,1,3.37,2.71,19.1,81.4,16.6,85.2,32.2,31.3,0.5,0.51,0.51,189.88,2260,4155,236,243,2029,1295,563,543,188.39,2193,3971,189,275,2065,1647,578,582,47,2020,COL_2020,NA
ARI,2019-20,70,33,29,8,74,0.529,26,28,5,2.71,2.61,19.2,82.7,16.8,85.3,31.7,32.4,0.5,0.49,0.48,196.58,2218,3913,190,211,1957,1376,464,606,197.13,2259,4142,183,232,2022,1623,444,693,7,2020,ARI_2020,NA
EDM,2019-20,71,37,25,9,83,0.585,31,35,2,3.14,3.03,29.5,84.4,24.5,85.9,29.6,32,0.5,0.47,0.48,204.05,2091,3749,223,221,1916,1583,584,847,202.31,2257,4153,214,219,1999,1627,561,801,9,2020,EDM_2020,NA
PIT,2019-20,69,40,23,6,86,0.623,29,37,3,3.2,2.84,19.9,82.1,17.5,85.3,31.9,29.7,0.53,0.51,0.52,197.25,2204,3860,221,226,1943,1883,520,633,175.87,2052,3644,196,239,2032,2205,416,617,25,2020,PIT_2020,NA
NYI,2019-20,68,35,23,10,80,0.588,24,32,3,2.78,2.79,17.3,80.7,14.3,84.1,29.6,31.2,0.49,0.47,0.47,178.83,2012,3670,189,205,1801,1915,486,947,185.7,2121,4169,190,203,1813,1492,497,918,-1,2020,NYI_2020,NA
FLA,2019-20,69,35,26,8,78,0.565,30,32,3,3.3,3.25,21.3,78.5,19,80.7,32.7,32.3,0.49,0.5,0.5,199.97,2248,3949,228,214,2010,1247,613,812,205.12,2225,3954,224,237,1992,1313,537,713,4,2020,FLA_2020,NA
OTT,2019-20,71,25,34,12,62,0.437,18,24,1,2.68,3.35,14.2,76.1,11.4,82.6,30.6,33.6,0.49,0.48,0.48,214.26,2174,4071,190,254,2129,1978,448,749,219.99,2384,4356,238,244,2112,1558,479,718,-48,2020,OTT_2020,NA
VAN,2019-20,69,36,27,6,78,0.565,27,32,4,3.25,3.1,24.2,80.5,22.5,82.8,31.2,33.3,0.49,0.49,0.49,197.42,2135,3911,223,242,2147,1351,471,569,204.65,2268,4109,211,259,1827,1324,418,558,12,2020,VAN_2020,NA
LAK,2019-20,70,29,35,6,64,0.457,21,28,1,2.53,2.99,17.1,77.4,16.6,80,33.2,29.7,0.5,0.53,0.53,197.94,2322,4263,177,209,2029,1460,365,690,195.52,2078,3790,209,213,1965,1499,415,642,-32,2020,LAK_2020,NA
ANA,2019-20,71,29,33,9,67,0.472,20,24,5,2.56,3.17,14.7,77,12,81.7,29.7,32.1,0.47,0.49,0.49,178.16,2083,3875,181,264,1971,1575,445,721,197.24,2253,4090,222,236,1920,1436,461,792,-41,2020,ANA_2020,NA
NSH,2019-20,69,35,26,8,78,0.565,28,32,3,3.07,3.1,17.3,76.1,13.7,78.9,33.1,31.3,0.5,0.51,0.52,193.85,2288,4173,212,247,2130,1156,518,642,197.14,2157,4003,214,250,1954,1374,506,642,-2,2020,NSH_2020,NA
STL,2019-20,71,42,19,10,94,0.662,33,40,2,3.14,2.68,24.3,79.3,21.3,81.8,30.7,29.6,0.5,0.5,0.5,192.23,2149,3726,220,220,2047,1458,542,536,192.19,2079,3662,189,225,1925,1428,628,592,31,2020,STL_2020,NA
DET,2019-20,71,17,49,5,39,0.275,13,14,3,2,3.73,14.9,74.3,8.8,76.1,27.1,32.8,0.42,0.46,0.46,168.74,1922,3424,142,246,1956,1577,310,838,233.89,2330,4056,265,234,1998,1344,417,676,-123,2020,DET_2020,NA
CBJ,2019-20,70,33,22,15,81,0.579,25,33,0,2.57,2.61,16.4,81.7,13.8,83.4,32.5,29.9,0.52,0.49,0.51,180.03,2272,3806,180,188,1884,1436,438,593,169.24,2093,3925,183,200,1998,1515,422,624,-3,2020,CBJ_2020,NA
CGY,2019-20,70,36,27,7,79,0.564,25,30,6,2.91,3.06,21.2,82.1,16.6,85.2,31.6,32.4,0.51,0.5,0.49,204.68,2210,4094,204,239,2025,1278,606,832,197.49,2270,4097,214,231,2092,1154,600,808,-10,2020,CGY_2020,NA
BUF,2019-20,69,30,31,8,68,0.493,22,28,2,2.8,3.12,18.9,74.6,13.3,77.3,29.3,31.1,0.47,0.49,0.49,175.11,2018,3587,193,203,1738,1317,363,542,197.59,2145,3669,215,217,2047,1346,408,602,-22,2020,BUF_2020,NA
CAR,2019-20,68,38,25,5,81,0.596,27,33,5,3.19,2.84,22.3,84,20.4,88.1,33.3,29.3,0.54,0.54,0.53,225.01,2264,4122,217,265,2058,1188,621,726,191.99,1994,3506,193,226,2014,1398,498,797,24,2020,CAR_2020,NA
TOR,2019-20,70,36,25,9,81,0.579,28,35,1,3.39,3.17,23.1,77.7,19.5,80.3,32.9,31.9,0.52,0.52,0.51,215.96,2294,4246,236,214,2057,1188,555,821,202.97,2234,3991,222,216,1867,1767,601,768,14,2020,TOR_2020,NA
MTL,2019-20,71,31,31,9,71,0.5,19,27,4,2.93,3.1,17.7,78.7,15.1,81.5,34.1,31.1,0.53,0.53,0.52,223.07,2424,4452,208,229,2140,1882,489,874,201,2210,3920,220,205,2104,1693,531,911,-12,2020,MTL_2020,NA
CHI,2019-20,70,32,30,8,72,0.514,23,28,4,2.97,3.06,15.2,82.1,11.5,85,31.8,35.1,0.48,0.49,0.48,200.88,2227,3987,208,228,1960,1538,573,712,221.5,2459,4166,214,237,1969,1899,626,744,-6,2020,CHI_2020,NA
MIN,2019-20,69,35,27,7,77,0.558,30,33,2,3.16,3.14,21.3,77.2,18.5,78.6,30.1,30.7,0.51,0.49,0.5,187.62,2077,3794,218,234,1945,1121,442,465,181.18,2113,3873,217,250,2069,1141,379,517,1,2020,MIN_2020,NA
TBL,2019-20,70,43,21,6,92,0.657,35,41,2,3.47,2.77,23.1,81.4,19.8,84,31.1,30.9,0.52,0.51,0.51,211.72,2154,3972,238,271,2013,1666,511,505,194.6,2140,3775,192,265,1972,1524,514,550,46,2020,TBL_2020,NA
NYR,2019-20,70,37,28,5,79,0.564,31,36,1,3.33,3.14,22.9,77.4,20.3,80.9,31.1,34,0.47,0.47,0.47,192.93,2171,3829,233,278,1799,1527,567,864,221.79,2382,4401,220,271,2059,1508,564,774,13,2020,NYR_2020,NA
