Year,Round,Overall,Team,Player,Nat.,Pos,PosSimp,Age,To,YrsPlayed,AmateurTeam,AmateurLeague,GP,G,A,PTS,PlusMinus,PIM,Gpgoalie,Wgoalie,Lgoalie,TOTSOlossgoalie,SavePercgoalie,GAAgoalie,PS
2005,3,66,New York Rangers,Brodie Dupont\duponbr01,CA,C,C,18,2011,6,Calgary (WHL),WHL,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,67,Columbus Blue Jackets,Kris Russell\russekr01,CA,D,D,18,2020,15,Medicine Hat (WHL),WHL,846,46,190,236,-5,259,0,0,0,0,0,0,45.7
2005,3,68,Chicago Blackhawks,Evan Brophey\brophev01,CA,C,C,18,2012,7,Belleville (OHL),OHL,4,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,69,Calgary Flames,Gord Baldwin\baldwgo01,CA,D,D,18,2005,0,Medicine Hat (WHL),WHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,70,Ottawa Senators,Vitali Anikeyenko\anikevi01,RU,D,D,18,2005,0,Lokomotiv Yaroslavl 2 (Russia-3),Russia3,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,71,Dallas Stars,Rich Clune\cluneri01,CA,LW,W,18,2016,11,Sarnia (OHL),OHL,139,7,15,22,-2,327,0,0,0,0,0,0,1.1
2005,3,72,Los Angeles Kings,Jonathan Quick\quickjo01,US,G,G,19,2020,15,Avon Old Farms (High-CT),High,644,0,19,19,0,58,644,325,240,67,0.913,2.39,104.6
2005,3,73,Tampa Bay Lightning,Radek Smolenak\smolera01,CZ,LW,W,18,2010,5,Kingston (OHL),OHL,7,0,1,1,1,15,0,0,0,0,0,0,0
2005,3,74,Calgary Flames,Dan Ryder\ryderda01,CA,C,C,18,2005,0,Peterborough (OHL),OHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,75,Dallas Stars,Perttu Lindgren\lindgpe01,FI,C,C,18,2010,5,Ilves Tampere Jr. (Finland-Jr.),FinlandJr,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,76,New York Islanders,Shea Guthrie\guthrsh01,CA,W,W,18,2005,0,St. George's (High-RI),High,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,77,New York Rangers,Dalyn Flatt\flattda01,CA,D,D,18,2005,0,Saskatoon (WHL),WHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,78,Nashville Predators,Teemu Laakso\laakste01,FI,D,D,18,2012,7,HIFK Helsinki (Finland),Finland,17,0,0,0,-3,10,0,0,0,0,0,0,-0.1
2005,3,79,Nashville Predators,Cody Franson\fransco01,CA,D,D,18,2018,13,Vancouver (WCHL),WCHL,550,43,169,212,-10,202,0,0,0,0,0,0,37
2005,3,80,Detroit Red Wings,Christofer Lofberg\lofbech01,SE,C,C,18,2005,0,Djurgarden Jr. (Sweden-Jr.),SwedenJr,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,81,Edmonton Oilers,Danny Syvret\syvreda01,CA,D,D,20,2011,6,London (OHL),OHL,59,3,4,7,-14,30,0,0,0,0,0,0,1.1
2005,3,82,Toronto Maple Leafs,Phil Oreskovic\oreskph01,CA,D,D,18,2009,4,Brampton (OHL),OHL,10,1,1,2,-2,21,0,0,0,0,0,0,0.2
2005,3,83,Boston Bruins,Mikko Lehtonen\lehtomi02,FI,RW,W,18,2010,5,Blues Espoo Jr. (Finland-Jr.),FinlandJr,2,0,0,0,-1,0,0,0,0,0,0,0,-0.1
2005,3,84,New Jersey Devils,Mark Fraser\frasema01,CA,D,D,18,2015,10,Kitchener (OHL),OHL,219,4,18,22,7,302,0,0,0,0,0,0,7.1
2005,3,85,St. Louis Blues,Ben Bishop\bishobe01,US,G,G,18,2020,15,Texas (NAHL),NAHL,413,0,12,12,0,34,413,222,128,36,0.921,2.32,76.4
2005,3,86,Edmonton Oilers,Robby Dee\deero01,US,C,C,18,2005,0,Breck (High-MN),High,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,87,Buffalo Sabres,Marc-Andre Gragnani\gragnma01,CA,D,D,18,2016,11,P.E.I. (QMJHL),QMJHL,78,3,15,18,4,36,0,0,0,0,0,0,0.7
2005,3,88,Colorado Avalanche,T.J. Hensick\hensitj01,US,C,C,19,2011,6,Michigan (CCHA),NCAA,112,12,26,38,-16,18,0,0,0,0,0,0,2.5
2005,3,89,Tampa Bay Lightning,Chris Lawrence\lawrech01,CA,C,C,18,2005,0,Sault Ste. Marie (OHL),OHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,90,Florida Panthers,Dan Collins\collida01,US,RW,W,18,2005,0,Plymouth (OHL),OHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,3,91,Philadelphia Flyers,Oskars Bartulis\bartuos01,LV,D,D,18,2011,6,Moncton (QMJHL),QMJHL,66,1,8,9,-16,32,0,0,0,0,0,0,0.7
2005,4,92,Tampa Bay Lightning,Marek Bartanus\bartama01,SK,RW,W,18,2005,0,Kosice (Slovakia),Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,93,Florida Panthers,Olivier Legault\legauol01,CA,LW,W,18,2005,0,Lewiston (QMJHL),QMJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,94,Carolina Hurricanes,Jakub Vojta\vojtaja01,CZ,D,D,18,2005,0,Sparta Praha Jr. (Czech-Jr.),CzechJr,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,95,Ottawa Senators,Cody Bass\bassco01,CA,C,C,18,2017,12,Mississauga (OHL),OHL,75,2,3,5,-5,107,0,0,0,0,0,0,-0.3
2005,4,96,Buffalo Sabres,Chris Butler\butlech01,US,D,D,18,2019,14,Sioux City (USHL),USHL,407,14,72,86,-27,187,0,0,0,0,0,0,17
2005,4,97,Edmonton Oilers,Chris VandeVelde\vandech01,US,C,C,18,2017,12,Moorhead (High-MN),High,278,18,30,48,-28,95,0,0,0,0,0,0,0.7
2005,4,98,Ottawa Senators,Ilya Zubov\zubovil01,RU,C,C,18,2009,4,Chelyabinsk (Russia-2),Russia2,11,0,2,2,-1,0,0,0,0,0,0,0,0
2005,4,99,New Jersey Devils,Patrick Davis\davispa01,US,RW,W,18,2010,5,Kitchener (OHL),OHL,9,1,0,1,-2,0,0,0,0,0,0,0,0
2005,4,100,Boston Bruins,Jonathan Sigalet\sigaljo02,CA,D,D,19,2007,2,Bowling Green (CCHA),NCAA,1,0,0,0,-2,4,0,0,0,0,0,0,-0.1
2005,4,101,Columbus Blue Jackets,Jared Boll\bollja01,US,RW,W,19,2018,13,Lincoln (USHL),USHL,579,28,38,66,-52,1298,0,0,0,0,0,0,0.5
2005,4,102,Tampa Bay Lightning,Blair Jones\jonesbl01,CA,C,C,18,2015,10,Moose Jaw (WHL),WHL,132,7,10,17,-18,65,0,0,0,0,0,0,-0.3
2005,4,103,Detroit Red Wings,Mattias Ritola\ritolma01,SE,RW,W,18,2012,7,Leksand Jr. (Sweden-Jr.),SwedenJr,43,4,5,9,-7,17,0,0,0,0,0,0,0.4
2005,4,104,Florida Panthers,Matt Duffy\duffyma01,US,D,D,19,2005,0,N.H. Jr. Monarchs (EJHL),EJHL,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,4,105,Phoenix Coyotes,Keith Yandle\yandlke01,US,D,D,19,2020,15,Cushing Academy (High-MA),High,976,99,474,573,-48,564,0,0,0,0,0,0,87.6
